iso,YEAR,MONTH,segment,nb_flights,co2_t,co2_per_flight
EE,2020,5,mainline,2361,15528.100000000013,6.5769165607793365
EE,2020,5,other,3956,7379.4000000000015,1.8653690596562187
EE,2020,5,regional,1337,735.0000000000001,0.549738219895288
EE,2020,6,business,832,303.5,0.36478365384615385
EE,2020,6,cargo,1503,9546.00000000001,6.3512974051896265
EE,2020,6,lowcost,1201,1220.3999999999999,1.0161532056619482
EE,2020,6,mainline,2047,12829.699999999997,6.267562286272593
EE,2020,6,other,2802,4750.100000000001,1.6952533904354037
EE,2020,6,regional,1967,1096.8,0.557600406710727
EE,2020,7,business,871,401.59999999999997,0.46107921928817447
EE,2020,7,cargo,1518,9439.300000000005,6.218247694334654
EE,2020,7,lowcost,2114,2363.2,1.1178807947019866
EE,2020,7,mainline,2354,12128.1,5.152124044180119
EE,2020,7,other,2514,2752.6000000000004,1.0949085123309468
EE,2020,7,regional,2736,1502.2,0.5490497076023392
EE,2020,8,business,905,427.99999999999994,0.47292817679558
EE,2020,8,cargo,1420,8880.000000000004,6.253521126760566
EE,2020,8,lowcost,2156,2425.5999999999995,1.1250463821892391
EE,2020,8,mainline,2810,12757.500000000013,4.540035587188616
EE,2020,8,other,2890,2848.4999999999995,0.9856401384083043
EE,2020,8,regional,3088,1967.6000000000006,0.637176165803109
EE,2020,9,business,1131,581.4,0.5140583554376658
EE,2020,9,cargo,1520,9501.0,6.250657894736842
EE,2020,9,lowcost,1691,1827.6000000000001,1.0807806031933769
EE,2020,9,mainline,2553,13297.600000000002,5.20861731296514
EE,2020,9,other,2285,3956.000000000001,1.7312910284463898
EE,2020,9,regional,4328,1752.3000000000002,0.40487523105360446
EE,2020,10,business,1034,459.8,0.4446808510638298
EE,2020,10,cargo,1572,10151.1,6.457442748091603
EE,2020,10,lowcost,1330,1490.4000000000003,1.1206015037593988
EE,2020,10,mainline,2397,12497.100000000004,5.213642052565709
EE,2020,10,other,3081,4440.299999999998,1.441187925998052
EE,2020,10,regional,3632,1369.8999999999999,0.37717511013215854
EE,2020,11,business,824,383.90000000000003,0.46589805825242725
EE,2020,11,cargo,1560,10138.100000000006,6.498782051282055
EE,2020,11,lowcost,1074,1131.1000000000001,1.0531657355679704
EE,2020,11,mainline,2024,11525.4,5.694367588932806
EE,2020,11,other,4464,7921.399999999997,1.7745071684587808
EE,2020,11,regional,2457,1328.8000000000004,0.540822140822141
EE,2020,12,business,1376,392.59999999999985,0.2853197674418604
EE,2020,12,cargo,1609,10068.699999999999,6.257737725295214
EE,2020,12,lowcost,1171,1325.1,1.131596925704526
EE,2020,12,mainline,2222,11910.700000000003,5.360351035103512
EE,2020,12,other,4411,8227.100000000006,1.8651326229879859
EE,2020,12,regional,3398,1270.8000000000004,0.37398469688051805
EE,2021,1,business,836,400.5000000000001,0.47906698564593314
EE,2021,1,cargo,1397,9290.300000000003,6.6501789549033665
EE,2021,1,lowcost,1010,935.5999999999999,0.9263366336633663
EE,2021,1,mainline,2146,11460.80000000001,5.3405405405405455
EE,2021,1,other,3777,7606.999999999998,2.0140323007678047
EE,2021,1,regional,3055,1184.8999999999996,0.3878559738134205
EE,2021,2,business,763,393.0999999999999,0.5152031454783748
